year,price,engine_volume_l,engine_power_hp,mileage_km,evaluation,fuel_type_бензин,fuel_type_дизель,transmission_автомат,transmission_механика,transmission_робот,drivetrain_4WD,drivetrain_передний
0.8181818181818272,0.5389755011135857,0.09090909090909094,0.08571428571428574,0.43998879977599553,нормальная цена,0,1,0,0,1,0,1
0.681818181818187,0.46547884187082406,0.0,0.2571428571428571,0.2375147502950059,нормальная цена,1,0,0,0,1,0,1
0.45454545454545325,0.2516703786191537,0.18181818181818177,0.26857142857142857,0.47998959979199585,нормальная цена,1,0,1,0,0,0,1
0.5454545454545467,0.18262806236080179,0.18181818181818177,0.26857142857142857,0.30603812076241527,нормальная цена,1,0,0,0,1,0,1
0.7272727272727337,0.5489977728285078,0.0,0.2571428571428571,0.06871937438748775,нормальная цена,1,0,0,0,1,0,1
0.681818181818187,0.4944320712694878,0.0,0.2571428571428571,0.19316386327726556,нормальная цена,1,0,0,0,1,0,1
0.5454545454545467,0.27839643652561247,0.18181818181818177,0.26857142857142857,0.5159903198063961,нормальная цена,1,0,0,0,1,0,1
0.7727272727272805,0.6224944320712694,0.2727272727272727,0.48571428571428565,0.11549230984619692,нормальная цена,0,1,0,0,1,0,1
0.7272727272727337,0.400890868596882,0.2727272727272727,0.6571428571428571,0.27998559971199427,хорошая цена,1,0,0,0,1,0,1
0.7272727272727337,0.5902004454342984,0.0,0.2571428571428571,0.18998379967599352,нормальная цена,1,0,0,0,1,0,1
0.4090909090909065,0.14454342984409801,0.2727272727272727,0.20000000000000007,0.6399927998559971,нормальная цена,0,1,0,0,1,0,1
0.8636363636363598,0.7347438752783965,0.2727272727272727,0.48571428571428565,0.07054941098821976,нормальная цена,1,0,0,0,1,0,1
0.36363636363635976,0.1893095768374165,0.18181818181818177,0.26857142857142857,0.3979879597591952,нормальная цена,1,0,0,0,1,0,1
0.7727272727272805,0.4884187082405345,0.18181818181818177,0.4285714285714285,0.2836556731134623,нормальная цена,1,0,0,0,1,0,1
0.18181818181818699,0.17706013363028955,0.18181818181818177,0.2571428571428571,0.41998839976799535,нормальная цена,1,0,0,1,0,0,1
0.09090909090909349,0.11135857461024501,0.18181818181818177,0.2571428571428571,0.46598931978639574,нормальная цена,1,0,0,1,0,0,1
0.2727272727272805,0.2093541202672606,0.18181818181818177,0.3142857142857143,0.5139902798055961,нормальная цена,1,0,0,1,0,0,1
0.5909090909090935,0.44543429844098,0.18181818181818177,0.4285714285714285,0.28396367927358546,нормальная цена,1,0,0,0,1,0,1
0.5454545454545467,0.2739420935412027,0.18181818181818177,0.26857142857142857,0.37998759975199503,нормальная цена,1,0,0,0,1,0,1
0.18181818181818699,0.0532293986636971,0.18181818181818177,0.2571428571428571,0.41998839976799535,нормальная цена,1,0,1,0,0,0,1
0.09090909090909349,0.0623608017817372,0.18181818181818177,0.2571428571428571,0.44213484269685394,нормальная цена,1,0,1,0,0,0,1
0.681818181818187,0.3674832962138085,0.18181818181818177,0.4285714285714285,0.3999879997599952,нормальная цена,1,0,0,0,1,0,1
0.5,0.200445434298441,0.18181818181818177,0.26857142857142857,0.48798975979519593,хорошая цена,1,0,0,0,1,0,1
0.22727272727273373,0.1224944320712695,0.18181818181818177,0.2571428571428571,0.6919938398767975,нормальная цена,1,0,1,0,0,0,1
0.8636363636363598,0.5679287305122495,0.0,0.2571428571428571,0.10798215964319285,нормальная цена,1,0,0,0,1,0,1
0.7727272727272805,0.5289532293986636,0.0,0.2571428571428571,0.10596811936238724,нормальная цена,1,0,0,0,1,0,1
0.18181818181818699,0.09779487750556792,0.18181818181818177,0.2571428571428571,0.41998839976799535,нормальная цена,1,0,0,1,0,0,1
0.8636363636363598,0.6770601336302895,0.0,0.2571428571428571,0.09817996359927197,нормальная цена,1,0,0,0,1,0,1
0.7272727272727337,0.37193763919821826,0.0,0.2571428571428571,0.28066161323226463,хорошая цена,1,0,0,0,1,0,1
0.681818181818187,0.47884187082405344,0.0,0.2571428571428571,0.15170103402068041,нормальная цена,1,0,0,0,1,0,1
0.36363636363635976,0.311804008908686,0.18181818181818177,0.26857142857142857,0.4479889597791956,нормальная цена,1,0,0,0,1,0,1
0.7272727272727337,0.42204899777282856,0.0,0.2571428571428571,0.30193203864077284,нормальная цена,1,0,0,0,1,0,1
0.6363636363636402,0.3561247216035635,0.0,0.2571428571428571,0.3099861997239945,нормальная цена,1,0,0,0,1,0,1
0.7272727272727337,0.49665924276169265,0.0,0.2571428571428571,0.24119482389647795,нормальная цена,1,0,0,0,1,0,1
0.5,0.289532293986637,0.18181818181818177,0.26857142857142857,0.3599871997439949,нормальная цена,1,0,0,0,1,0,1
0.09090909090909349,0.07349665924276169,0.18181818181818177,0.2571428571428571,0.6674013480269605,нормальная цена,1,0,1,0,0,0,1
0.681818181818187,0.4844097995545657,0.0,0.2571428571428571,0.19664193283865677,нормальная цена,1,0,0,0,1,0,1
0.45454545454545325,0.2670378619153675,0.2727272727272727,0.20000000000000007,0.448714974299486,нормальная цена,0,1,0,0,1,0,1
0.7272727272727337,0.4988864142538976,0.0,0.2571428571428571,0.10595011900238005,нормальная цена,1,0,0,0,1,0,1
0.5,0.3674832962138085,0.18181818181818177,0.26857142857142857,0.3459869197383948,нормальная цена,1,0,0,0,1,0,1
0.5,0.2873051224944321,0.18181818181818177,0.26857142857142857,0.5039900798015959,нормальная цена,1,0,0,0,1,0,1
0.7727272727272805,0.5699331848552338,0.0,0.2571428571428571,0.08900578011560231,нормальная цена,1,0,0,0,1,0,1
0.7727272727272805,0.5902004454342984,0.0,0.2571428571428571,0.10752415048300966,нормальная цена,1,0,0,0,1,0,1
0.36363636363635976,0.2115812917594655,0.18181818181818177,0.26857142857142857,0.2719854397087942,нормальная цена,1,0,0,1,0,0,1
0.5454545454545467,0.2516703786191537,0.18181818181818177,0.26857142857142857,0.48083961679233583,нормальная цена,1,0,0,0,1,0,1
0.45454545454545325,0.2046770601336303,0.18181818181818177,0.26857142857142857,0.6479929598591971,нормальная цена,1,0,1,0,0,0,1
0.2727272727272805,0.1514476614699332,0.18181818181818177,0.3142857142857143,0.42998859977199544,хорошая цена,1,0,0,1,0,0,1
0.7727272727272805,0.47884187082405344,0.0,0.2571428571428571,0.16873337466749336,нормальная цена,1,0,0,0,1,0,1
0.45454545454545325,0.2670378619153675,0.2727272727272727,0.20000000000000007,0.448714974299486,нормальная цена,0,1,0,0,1,0,1
0.7272727272727337,0.5412026726057906,0.2727272727272727,0.48571428571428565,0.5720354407088142,нормальная цена,0,1,0,0,1,1,0
0.45454545454545325,0.2873051224944321,0.2727272727272727,0.20000000000000007,0.5459909198183963,нормальная цена,0,1,0,0,1,0,1
0.4090909090909065,0.378619153674833,0.2727272727272727,0.5428571428571428,0.41998839976799535,высокая цена,1,0,0,0,1,0,1
0.5909090909090935,0.35077951002227176,0.18181818181818177,0.4285714285714285,0.48998979979599594,нормальная цена,1,0,0,0,1,0,1
0.36363636363635976,0.22271714922049,0.18181818181818177,0.26857142857142857,0.4203064061281226,нормальная цена,1,0,0,0,1,0,1
0.6363636363636402,0.3538975501113586,0.0,0.2571428571428571,0.24091481829636593,хорошая цена,1,0,0,0,1,0,1
