year	price	engine_volume_l	engine_power_hp	fuel_type	transmission	drivetrain	mileage_km	evaluation
2016	2099000	1.8	180	бензин	робот	передний	99900	нормальная цена
2011	1050000	1.8	152	бензин	автомат	передний	150000	нормальная цена
2013	940000	1.8	152	бензин	автомат	передний	207593	хорошая цена
2019	2230000	1.4	150	бензин	робот	передний	76770	хорошая цена
2012	1500000	1.8	152	бензин	автомат	передний	129000	нормальная цена
2018	2399000	1.8	180	бензин	робот	передний	91000	нормальная цена
2011	1155000	1.8	152	бензин	робот	передний	160000	нормальная цена
2010	900000	1.8	152	бензин	робот	передний	365000	нормальная цена
2019	2231000	1.4	150	бензин	робот	передний	86129	нормальная цена
2010	785000	1.8	152	бензин	робот	передний	330000	Unknown
2010	838000	1.8	152	бензин	робот	передний	232200	хорошая цена
2019	2075000	1.4	150	бензин	робот	передний	108365	нормальная цена
2005	510000	1.8	150	бензин	автомат	передний	250000	нормальная цена
2014	1515000	2.0	140	дизель	робот	передний	369000	нормальная цена
2012	980000	1.8	160	бензин	механика	передний	166700	хорошая цена
2018	2399900	1.8	180	бензин	робот	передний	118000	нормальная цена
2018	2180000	1.8	180	бензин	робот	передний	99000	нормальная цена
2015	2100000	1.4	150	бензин	робот	передний	173000	высокая цена
2012	1309990	1.8	152	бензин	автомат	передний	173000	нормальная цена
2014	1239000	1.8	152	бензин	робот	передний	171559	хорошая цена
2017	2350000	1.8	180	бензин	робот	передний	222000	Unknown
2011	850000	1.8	152	бензин	робот	передний	190000	хорошая цена
2012	1000000	1.8	152	бензин	автомат	передний	245000	хорошая цена
2003	280000	2.8	193	бензин	автомат	передний	300000	Unknown
2021	3099000	1.4	150	бензин	робот	передний	20000	нормальная цена
2012	1200000	1.8	152	бензин	автомат	передний	277800	нормальная цена
2012	1100000	1.8	152	бензин	автомат	передний	219000	хорошая цена
2012	1100000	1.8	152	бензин	автомат	передний	158605	нормальная цена
2011	1300000	1.8	152	бензин	робот	передний	222000	Unknown
2019	2775000	1.4	150	бензин	робот	передний	54700	нормальная цена
2018	2365000	1.4	150	бензин	робот	передний	69444	нормальная цена
2003	470000	2.8	193	бензин	автомат	передний	280000	нормальная цена
2011	1500000	1.8	152	бензин	механика	передний	205000	нормальная цена
2007	750000	1.8	150	бензин	механика	передний	363595	нормальная цена
2016	2350000	1.4	150	бензин	робот	передний	109000	нормальная цена
2019	2475000	1.4	150	бензин	робот	передний	99727	нормальная цена
2020	2865000	1.4	150	бензин	робот	передний	87822	нормальная цена
2020	3240000	2.0	190	бензин	робот	передний	65274	нормальная цена
2015	1850000	2.0	140	дизель	робот	передний	180820	нормальная цена
2006	345000	1.8	150	бензин	механика	передний	312301	Unknown
2012	1150000	1.8	152	бензин	автомат	передний	290748	нормальная цена
2021	3530000	2.0	190	бензин	робот	передний	29364	нормальная цена
2010	989000	1.8	152	бензин	робот	передний	273000	нормальная цена
2011	990000	1.8	152	бензин	механика	передний	313000	Unknown
2009	1100000	1.8	152	бензин	робот	передний	190000	Unknown
2014	850000	1.8	152	бензин	механика	передний	280000	хорошая цена
2017	2299800	1.8	180	бензин	робот	передний	84000	нормальная цена
2013	1568000	2.0	200	бензин	робот	передний	183806	нормальная цена
2012	948000	2.0	200	бензин	робот	передний	245296	хорошая цена
2019	2635000	2.0	220	бензин	робот	передний	97356	нормальная цена
2009	1234000	1.8	152	бензин	робот	передний	250550	высокая цена
2017	2300000	1.4	150	бензин	робот	передний	105276	нормальная цена
2018	2390000	1.4	150	бензин	робот	передний	116628	нормальная цена
2012	967000	1.8	152	бензин	автомат	передний	231438	нормальная цена
2011	1399000	1.8	152	бензин	робот	передний	196000	высокая цена
2009	1185000	1.8	152	бензин	автомат	передний	286000	нормальная цена
2014	1600000	1.8	152	бензин	робот	передний	202000	нормальная цена
2012	1060000	1.8	152	бензин	автомат	передний	152000	хорошая цена
2017	2100000	1.4	150	бензин	робот	передний	49618	нормальная цена
2013	1300000	1.8	152	бензин	автомат	передний	200000	нормальная цена
2005	800000	1.8	150	бензин	механика	передний	194415	высокая цена
2011	1350000	1.8	152	бензин	робот	передний	240000	нормальная цена
2011	950000	2.0	200	бензин	робот	передний	232059	Unknown
2019	1975000	1.4	150	бензин	робот	передний	180000	нормальная цена
2010	950000	1.8	152	бензин	робот	передний	223000	хорошая цена
2018	2585000	1.4	150	бензин	робот	передний	54572	нормальная цена
2005	299000	1.8	150	бензин	автомат	передний	280000	Unknown
2009	1000000	1.8	152	бензин	робот	передний	303000	нормальная цена
2009	869999	1.4	125	бензин	механика	передний	277000	нормальная цена
2015	1300000	1.8	152	бензин	робот	передний	180700	нормальная цена
2007	499000	1.8	150	бензин	автомат	передний	225000	хорошая цена
2008	850000	1.8	152	бензин	механика	передний	320000	нормальная цена
2011	889000	1.8	152	бензин	автомат	передний	176448	Unknown
2010	890000	1.8	152	бензин	робот	передний	244000	хорошая цена
2007	585000	1.8	150	бензин	автомат	передний	184000	нормальная цена
2011	825000	1.8	152	бензин	робот	передний	189125	отличная цена
2018	2430000	1.8	180	бензин	робот	передний	119000	нормальная цена
2016	2025000	1.8	180	бензин	робот	передний	112104	нормальная цена
2012	1150000	1.8	152	бензин	автомат	передний	216000	нормальная цена
2019	2750000	1.4	150	бензин	робот	передний	44827	нормальная цена
2024	3595000	1.4	150	бензин	робот	передний	53	нормальная цена
2017	2490000	2.0	280	бензин	робот	4WD	159023	нормальная цена
2019	2550000	1.4	150	бензин	робот	передний	78361	нормальная цена
2011	650000	1.8	152	бензин	робот	передний	254000	Unknown
2016	1500000	1.4	150	бензин	робот	передний	155000	хорошая цена
2024	3595000	1.4	150	бензин	робот	передний	30	нормальная цена
2015	1378000	1.8	Unknown	бензин	механика	передний	330224	Unknown
2010	930000	1.8	152	бензин	робот	передний	205000	Unknown
2007	670000	1.8	150	бензин	автомат	передний	302500	нормальная цена
2009	860000	1.8	152	бензин	робот	передний	189000	хорошая цена
2015	2500000	2.0	220	бензин	робот	передний	120000	нормальная цена
2021	2698900	2.0	220	бензин	робот	передний	146790	нормальная цена
2007	499000	1.8	150	бензин	автомат	передний	236216	Unknown
2017	2999999	2.0	280	бензин	робот	4WD	170000	нормальная цена
2014	1200000	2.0	200	бензин	робот	передний	227843	нормальная цена
2012	1540000	2.0	140	дизель	робот	передний	253600	высокая цена
2010	1200000	1.8	152	бензин	робот	передний	220000	нормальная цена
2011	1277504	1.8	152	бензин	робот	передний	144200	высокая цена
2013	1800000	1.8	152	бензин	робот	передний	65514	нормальная цена
2012	1220000	2.0	200	бензин	робот	передний	238291	нормальная цена
2013	1550000	2.0	200	бензин	робот	передний	340000	нормальная цена
2008	600000	1.8	160	бензин	механика	передний	240000	отличная цена
2011	1080000	1.8	152	бензин	робот	передний	148000	нормальная цена
2019	2189000	1.4	150	бензин	робот	передний	61000	нормальная цена
2012	999999	1.8	152	бензин	автомат	передний	204411	хорошая цена
2019	2290000	1.8	180	бензин	робот	передний	135000	нормальная цена
2016	2100000	2.0	220	бензин	робот	передний	168881	нормальная цена
2014	1275000	1.6	105	дизель	механика	передний	278000	нормальная цена
2010	1100000	1.8	152	бензин	робот	передний	232000	нормальная цена
2012	1100000	1.8	152	бензин	автомат	передний	175000	нормальная цена
2011	1220000	1.8	152	бензин	робот	передний	104350	нормальная цена
2017	1300000	1.8	180	бензин	робот	передний	370000	Unknown
2021	2799000	2.0	190	бензин	робот	передний	111000	нормальная цена
2016	1890000	1.8	180	бензин	механика	передний	175780	нормальная цена
2006	600000	1.8	150	бензин	автомат	передний	226000	нормальная цена
2011	1150000	1.8	152	бензин	автомат	передний	199000	нормальная цена
2019	2570000	1.4	150	бензин	робот	передний	45714	нормальная цена
2017	2150000	1.4	150	бензин	робот	передний	124200	Unknown
2017	2930000	2.0	220	бензин	робот	передний	89760	нормальная цена
2010	1190000	1.8	152	бензин	робот	передний	178000	нормальная цена
2012	1310000	1.8	152	бензин	автомат	передний	230000	нормальная цена
2010	970000	1.8	152	бензин	робот	передний	193000	Unknown
2018	2034000	1.4	150	бензин	робот	передний	118037	нормальная цена
2018	2250000	1.4	150	бензин	робот	передний	150000	нормальная цена
2012	1099000	1.8	152	бензин	автомат	передний	178300	нормальная цена
2010	926000	1.8	152	бензин	робот	передний	254716	нормальная цена
2011	1280000	2.0	140	дизель	робот	передний	182933	нормальная цена
2011	1038000	2.0	140	дизель	робот	передний	290000	нормальная цена
2002	520000	2.5	155	дизель	автомат	передний	284059	нормальная цена
2013	1350000	1.8	152	бензин	робот	передний	177000	Unknown
2013	1269000	1.8	152	бензин	автомат	передний	183116	нормальная цена
2012	1417000	2.0	140	дизель	робот	передний	104071	нормальная цена
2021	3180000	1.4	150	бензин	робот	передний	34486	нормальная цена
2018	2120000	1.8	180	бензин	робот	передний	152889	нормальная цена
2012	1100000	1.8	152	бензин	автомат	передний	236976	нормальная цена
2013	1450000	1.8	152	бензин	робот	передний	178000	нормальная цена
2016	1610000	1.4	150	бензин	робот	передний	233911	нормальная цена
2017	1860000	1.4	150	бензин	робот	передний	142414	нормальная цена
2007	650000	1.8	150	бензин	автомат	передний	246500	Unknown
